City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Mananjary,MG,78.78,light rain,-21.2167,48.3333,Vahiny Lodge
372,Batticaloa,LK,80.28,overcast clouds,7.7102,81.6924,Treatooo Hotel
376,Pamekasan,ID,87.33,light rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
380,Manikpur,IN,76.62,clear sky,25.0667,81.1167,Jeera
387,Jhargram,IN,79.03,clear sky,22.45,86.9833,Sarada Hotel
388,Sorong,ID,83.32,light rain,-0.8833,131.25,Waigo Splash Hotel
389,Bakel,SN,81.48,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
391,Quixeramobim,BR,76.59,few clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
401,Santa Isabel Do Rio Negro,BR,76.73,moderate rain,-0.4139,-65.0192,Hotel GSA
407,Shenzhen,CN,81.86,clear sky,22.5455,114.0683,Grand Skylight
413,Ambovombe,MG,79.02,clear sky,-25.1667,46.0833,RELAHARA
420,Denpasar,ID,87.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
423,Gigmoto,PH,84.06,broken clouds,13.7796,124.39,Cj's Travellers Inn
434,Yangjiang,CN,80.19,scattered clouds,21.85,111.9667,HUALUXE Yangjiang City Center
436,Hobyo,SO,82.76,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
439,Manaure,CO,78.35,overcast clouds,11.7751,-72.4445,Hotel Palaaima
442,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
444,Simplicio Mendes,BR,81.5,overcast clouds,-7.8539,-41.9103,Praça Dr.ª Ana Maria e Espaço Dr.ªAlice Coelho
446,Ballina,AU,88.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
447,Funadhoo,MV,81.39,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
448,Port Macquarie,AU,89.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
457,West Bay,KY,81.0,clear sky,19.3667,-81.4167,Calypso Cove
461,Iracoubo,GF,78.1,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
462,Tautira,PF,76.1,overcast clouds,-17.7333,-149.15,Pension Oaoa
465,Marsh Harbour,BS,78.13,clear sky,26.5412,-77.0636,Abaco Beach Resort
467,Cao Bang,VN,83.41,broken clouds,22.6667,106.25,khách sạn 88
476,Laya,PH,87.46,scattered clouds,17.4726,121.4678,"M Hotel Tabuk, INC."
487,Xuddur,SO,75.2,few clouds,4.1213,43.8894,Banjanay Hotel
493,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
498,Bima,ID,88.16,overcast clouds,-8.4667,118.7167,Lambitu Hotel
499,Karangsembung,ID,85.96,broken clouds,-6.8487,108.6422,nida nur arofah
500,Yaring,TH,85.23,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
503,Ewa Beach,US,77.99,clear sky,21.3156,-158.0072,Base Lodging
508,Catacamas,HN,81.01,few clouds,14.8,-85.9,Villa Genesis
515,Tura,IN,76.53,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
517,Monrovia,LR,75.94,moderate rain,6.3005,-10.7969,Sunset Inn
518,Champerico,GT,78.37,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
519,Nampula,MZ,76.95,clear sky,-15.1165,39.2666,Ruby Backpackers
527,Faanui,PF,75.72,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
530,Pandan,PH,83.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
537,Lazaro Cardenas,MX,76.28,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
542,Pundaguitan,PH,83.52,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
548,Jacmel,HT,76.84,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
549,Banyumas,ID,84.87,overcast clouds,-7.5142,109.2942,SPOT ON 91372 Wisma Bulin
555,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
558,Pangkalanbuun,ID,85.96,light rain,-2.6833,111.6167,Grand Kecubung Hotel
