City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
252,Basoko,1.2391,23.616,70.48,broken clouds,89,62,0.58,CD,2022-11-14 05:20:38
253,Souillac,-20.5167,57.5167,70.18,light rain,94,75,2.3,MU,2022-11-14 05:20:39
254,Henties Bay,-22.116,14.2845,58.28,clear sky,93,10,4.36,NA,2022-11-14 05:20:39
255,Kasongo-Lunda,-6.4667,16.8167,68.4,overcast clouds,87,91,1.41,CD,2022-11-14 05:20:39
256,Yishui,35.7847,118.6281,53.8,overcast clouds,30,96,5.61,CN,2022-11-14 05:20:40
257,Te Anau,-45.4167,167.7167,68.86,scattered clouds,47,44,8.39,NZ,2022-11-14 05:20:41
258,Emba,48.8264,58.1442,36.81,overcast clouds,96,100,23.35,KZ,2022-11-14 05:20:41
259,Harper,4.375,-7.7169,76.69,moderate rain,89,75,6.17,LR,2022-11-14 05:20:42
260,Fort Stewart,31.8722,-81.61,48.74,clear sky,62,0,4.61,US,2022-11-14 05:20:42
261,Bereda,43.2686,-7.5406,49.41,overcast clouds,100,99,2.13,ES,2022-11-14 05:20:43
262,Hermanus,-34.4187,19.2345,62.8,broken clouds,81,75,10.96,ZA,2022-11-14 05:20:43
